Reaction Date,Reaction Type,Parent Type,Parent ID
"Oct 7, 2024, 1:08:30 PM",Kudos,Activity,12582864632
"Oct 9, 2024, 9:09:03 AM",Kudos,Activity,12609590937
"Oct 9, 2024, 9:10:03 AM",Kudos,Activity,12609592415
"Oct 9, 2024, 9:10:09 AM",Kudos,Activity,12609589583
"Oct 9, 2024, 12:37:37 PM",Kudos,Activity,12593736626
"Oct 9, 2024, 12:37:43 PM",Kudos,Activity,12612223293
"Oct 10, 2024, 10:41:30 AM",Kudos,Activity,12617157295
"Oct 10, 2024, 1:32:52 PM",Kudos,Activity,12621226052
"Oct 10, 2024, 1:33:05 PM",Kudos,Activity,12621225165
"Oct 10, 2024, 1:33:07 PM",Kudos,Activity,12621242635
"Oct 10, 2024, 10:18:31 PM",Kudos,Activity,12624757314
"Oct 10, 2024, 10:18:53 PM",Kudos,Activity,12624757833
"Oct 10, 2024, 10:19:01 PM",Kudos,Activity,12624902843
"Oct 12, 2024, 3:37:11 PM",Kudos,Activity,12637765666
"Oct 12, 2024, 3:37:46 PM",Kudos,Activity,12637795543
"Oct 13, 2024, 1:05:14 AM",Kudos,Activity,12640518504
"Oct 13, 2024, 10:46:21 AM",Kudos,Activity,12643791950
"Oct 16, 2024, 10:23:42 AM",Kudos,Activity,12664734477
"Oct 18, 2024, 7:54:13 PM",Kudos,Activity,12680747017
"Oct 18, 2024, 7:54:33 PM",Kudos,Activity,12676740632
"Oct 18, 2024, 7:54:40 PM",Kudos,Activity,12676740095
"Oct 18, 2024, 7:55:10 PM",Kudos,Activity,12676739259
"Oct 20, 2024, 7:40:57 PM",Kudos,Activity,12704016621
"Oct 21, 2024, 9:43:18 AM",Kudos,Activity,12704537720
"Oct 23, 2024, 4:10:05 PM",Kudos,Activity,12717832027
"Oct 23, 2024, 11:09:21 PM",Kudos,Activity,12729006939
"Oct 25, 2024, 11:52:28 AM",Kudos,Activity,12736669664
"Oct 26, 2024, 5:29:58 PM",Kudos,Activity,12750266113
"Oct 27, 2024, 8:48:49 PM",Kudos,Activity,12759255592
"Oct 27, 2024, 8:49:26 PM",Kudos,Activity,12750264708
"Oct 30, 2024, 11:26:37 AM",Kudos,Activity,12776439032
"Oct 30, 2024, 11:26:39 AM",Kudos,Activity,12776437597
"Nov 1, 2024, 2:38:08 PM",Kudos,Activity,12797263063
"Nov 1, 2024, 2:43:48 PM",Kudos,Activity,12791458503
"Nov 2, 2024, 6:05:55 PM",Kudos,Activity,12807055122
"Nov 2, 2024, 6:06:50 PM",Kudos,Activity,12806676675
